date,GRPN,MSFT,AAPL,PFE,%5eGSPC,TWO,%5eTNX,%5eTYX,VZ,IVR
2016-12-05,3.8,,109.110001,31.59,,,,,49.75,14.86
2016-12-02,3.79,,109.900002,31.629999,,,,,49.810001,14.46
2016-12-01,3.75,,109.489998,31.459999,,,,,49.869999,14.54
2016-11-30,3.97,,110.519997,32.139999,,,,,49.900002,14.9
2017-04-04,3.79,65.730003,144.770004,34.34,2360.159912,9.65,2.35,2.993,49.310001,15.53
2017-04-03,3.89,65.550003,143.699997,34.240002,2358.840088,9.58,2.35,2.985,49.18,15.38
2017-04-18,3.75,65.389999,141.199997,33.84,2342.189941,9.97,2.179,2.842,49.220001,15.94
2017-04-17,3.65,65.480003,141.830002,34,2349.01001,9.97,2.252,2.913,48.810001,15.91
2017-04-13,3.66,64.949997,141.050003,33.880001,2328.949951,9.79,2.232,2.888,48.619999,15.77
2017-04-12,3.77,65.230003,141.800003,33.919998,2344.929932,9.76,2.296,2.93,48.919998,15.76
2017-04-11,3.75,65.480003,141.630005,33.93,2353.780029,9.78,2.298,2.929,48.700001,15.84
2017-04-10,3.75,65.529999,143.169998,34.040001,2357.159912,9.73,2.361,2.987,48.540001,15.66
2017-04-07,3.74,65.68,143.339996,34.099998,2355.540039,9.63,2.373,2.998,48.66,15.47
2017-04-06,3.8,65.730003,143.660004,34.110001,2357.48999,9.64,2.343,2.987,48.43,15.57
2017-04-05,3.72,65.559998,144.020004,34.189999,2352.949951,9.6,2.357,3.006,49.02,15.39
