date,symbol,price
2017-03-06,GRPN,4.04
2017-03-06,AAPL,139.339996
2017-03-06,PFE,34.349998
2017-03-06,MSFT,64.269997
2017-03-06,%5eGSPC,2375.310059
2017-03-06,TWO,9.29
2017-03-06,%5eTNX,2.49
2017-03-06,%5eTYX,3.1
2017-03-06,IVR,15.35
2017-03-06,VZ,50.029999
2017-03-03,GRPN,4.02
2017-03-03,AAPL,139.779999
2017-03-03,PFE,34.52
2017-03-03,MSFT,64.25
2017-03-03,%5eGSPC,2383.120117
2017-03-03,TWO,9.34
2017-03-03,%5eTNX,2.492
2017-03-03,%5eTYX,3.084
2017-03-03,IVR,15.32
2017-03-03,VZ,50.09
2017-03-02,GRPN,4.14
2017-03-02,AAPL,138.960007
2017-03-02,PFE,34.509998
2017-03-02,MSFT,64.010002
2017-03-02,%5eGSPC,2381.919922
2017-03-02,TWO,9.32
2017-03-02,%5eTNX,2.489
2017-03-02,%5eTYX,3.082
2017-03-02,IVR,15.31
2017-03-02,VZ,49.98
2017-03-01,GRPN,4.26
2017-03-01,AAPL,139.789993
2017-03-01,PFE,34.419998
2017-03-01,MSFT,64.940002
2017-03-01,%5eGSPC,2395.959961
2017-03-01,TWO,9.3
2017-03-01,%5eTNX,2.463
2017-03-01,%5eTYX,3.071
2017-03-01,IVR,15.53
2017-03-01,VZ,49.810001
2017-02-28,GRPN,4.23
2017-02-28,AAPL,136.990005
2017-02-28,PFE,34.119999
2017-02-28,IVR,15.55
2017-02-28,VZ,49.630001
2017-02-27,GRPN,4.49
2017-02-27,AAPL,136.929993
2017-02-27,PFE,34.279999
2017-02-27,IVR,15.28
2017-02-27,VZ,49.939999
2017-02-24,GRPN,4.47
2017-02-24,AAPL,136.660004
2017-02-24,PFE,34.259998
2017-02-24,IVR,15.31
2017-02-24,VZ,50.599998
2017-02-23,GRPN,4.42
2017-02-23,AAPL,136.529999
2017-02-23,PFE,34.060001
2017-02-23,IVR,15.57
2017-02-23,VZ,50.310001
2017-02-22,GRPN,4.52
2017-02-22,AAPL,137.110001
2017-02-22,PFE,33.59
2017-02-22,IVR,15.49
2017-02-22,VZ,49.669998
2017-02-21,GRPN,4.74
2017-02-21,AAPL,136.699997
2017-02-21,PFE,33.619999
2017-02-21,IVR,15.65
2017-02-21,VZ,49.43
2017-02-17,GRPN,4.66
2017-02-17,AAPL,135.720001
2017-02-17,PFE,33.619999
2017-02-17,IVR,15.52
2017-02-17,VZ,49.189999
2017-02-16,GRPN,4.63
2017-02-16,AAPL,135.350006
2017-02-16,PFE,33.619999
2017-02-16,IVR,15.63
2017-02-16,VZ,48.459999
2017-02-15,GRPN,4.64
2017-02-15,AAPL,135.509995
2017-02-15,PFE,33.509998
2017-02-15,IVR,15.34
2017-02-15,VZ,48.080002
2017-02-14,GRPN,3.78
2017-02-14,AAPL,135.020004
2017-02-14,PFE,32.75
2017-02-14,IVR,15.43
2017-02-14,VZ,48.27
2017-02-13,GRPN,3.56
2017-02-13,AAPL,133.289993
